Id,Label,timeset,modularity_class
72,realli hate peopl diss band trace clear ugli,,8
73,gym attir today puma singlet adida shortsand black busi sock leather shoe lucki run cute girl,,23
74,wont show locat,,1
75,picnic phone smell like citrus,,13
76,ashleyac donkey sensit comment nevertheless hed med glad see mug asap charger still awol,,12
77,new csi tonight fml,,12
78,think arm sore tenni,,8
79,wonder someon u like much can make unhappi split seccond depress,,13
80,sleep soon just hate say bye see tomorrow night,,24
81,statravelau just got ur newslett fare realli unbeliev shame alreadi book paid mine,,24
82,missin boo,,12
83,markhardy1974 itm,,2
84,damn dont chalk chalkboard useless,,8
85,blast getti villa hate shes sore throat day just get wors,,24
86,msdrama hey miss ya meet sup mama,,25
87,tummi hurt wonder hypnosi anyth work get stop smoke,,3
88,alway fat one,,12
89,januarycrimson sorri babe fam annoy thank theyr asleep right now muahaha evil laugh,,1
90,hollywoodheat paid attent cover photoshop webpag design class undergrad,,1
91,wednesday bday dont know 2,,8
92,poor cameron hill,,25
93,pray pleas ex threaten start sh myour babi 1st birthday parti jerk still headach,,12
94,makeherfam hmm u realli enjoy problem constant u think thing find someon ulik,,8
95,strider sick littl puppi,,13
96,ryleegracewana go steve parti sad sinc easter wnt b abl 2 much ohh well,,1
97,hey actual won one bracket pool bad wasnt one money,,12
98,stark dont follow either work,,3
99,bad nite favorit team astro spartan lose nite tw good,,13
100,bodi miss northern calif girl found polic found remain miss northern california girl,,25
101,mangaaa hope will increas capac fast yesterday pain got fail whale 15 time 2 hour,,12
102,behind class work,,3
103,watch quothousequot,,25
104,kprey rememb bum leg strike back time serious,,12
105,paradisej cool will kind complaint laptop onlin overh recal,,12
106,emili will glad mommi done train new job miss,,25
107,rather first parti send bad messag 3rd parti send mix one sophmor year,,12
108,henkuyinepu overr,,8
109,marykatherineq know heard afternoon wonder thing moscow behind time,,12
110,lay bed voic,,12
111,im sooo sad kill kutner hous whyyyyyyyy,,1
112,jacobsumm sorri tell mea culpa realli sorri,,8
113,alliana07 didnt make sens suicid thing refus believ actual happen,,13
114,salancast hope ok,,13
115,mercedesashley damn grind inspir sadden time dont want stop cuz like u much love,,8
116,hibanick yeah aw know wudnt stand chanc,,8
117,ugh cant sleep 130am,,23
118,hang crooner wanna sing cant suck,,23
119,erresc aaw miss ya im leav bh tomorrow quotmorningquot think aww wanna go beach w u girl,,25
120,piss there asba radio station,,8
121,wednesday bday n dont know 2,,8
122,know life flip upsid just thought head ramen sound good,,24
123,pain back side hurt mention cri made fail,,12
124,late night snack glass oj bc im quotdown sicknessquot back sleepugh hate get sick,,23
125,allyheman im big fan camilla bell,,13
126,grum wah cant see clip must elstupido work filter cant wait till get puter someth els 2 blame ex 4 broke mine,,23
127,week just seem get longer longer term much need much im actual go get done,,24
128,im cold,,12
129,thecoolestout ehhh dont weather gonna take turn ugli tomorrow,,8
130,chelserlynn haha cooooold d still go show incred stuff,,12
131,hope tummi rumbl go away soon,,13
132,knight notic told id work tomorrow call agenc follow said,,3
133,almost bedtim,,12
134,im miss babe long aliv im happi yawwwnn im tire love imma tri sleep hope headstart,,25
135,aghsnow,,4
136,miss kenni power,,25
137,bridgetsbeach thank let peopl know now im sad direct messag got wasnt actual bridget,,1
138,india miss 100th test victori n 10th consecut win without loss,,25
139,jonathanrknight guess that,,25
140,sad go bed,,1
141,ozesteph1992 shame hear stephan,,8
142,mrsaintnick hey im leavin morn,,12
143,intend finish edit 536page novel manuscript tonight will probabl happen 12 page left,,12
144,laid around much today now head hurt,,1
145,twista202 still havent read 9thamp10th princess diari save francesca made cri end hmm easi book,,12
146,nokia 1110 die,,13
147,mom might breast cancer wont find anyth like week im worri,,13
148,go sleep hope tomorrow better day,,12
149,rumblepurr lol wish understood daylight save end though breakfast hour later keep wake kid,,12
150,onemoreproject lame,,24
151,dont understand realli dont,,8
152,hero just isnt season,,24
153,live downtown sure isnt much fun,,25
154,jonathanchard calori wise wish junk food calori free ate thing sour skittl big ass cherri coke,,13
155,man work hard,,3
156,get sick time hot tea studi sleeeep,,23
157,get eyebrow wax pain,,23
158,phantasi star yesterday go work,,3
159,oh just got macheist 30 app sweet didnt get espresso serial though although said sent oh well,,24
160,pick mich st win get go feel pretti good pick way untiltonight lost,,23
161,alon downstairswork,,25
162,feel bad,,13
163,ryanseacrest just hate anoop mean serious shes kinda mean,,24
164,pinkserendip yes sprint 4g baltimor chicago far,,8
165,im stuck awak middl night second day row felt terribl yesterday,,12
166,thank burst bubbl,,12
167,go school soon cant find anyth wear gosh hard,,23
168,marieclr serious lol,,12
169,naughtyhaughti page sooooo long got delet sad day histori,,1
170,crazi wind today bird,,23
171,current work,,3
172,grrr ipod act weird jai ho think arent play full song ughh,,8
173,penndbad send dvd cos miss heap happi,,25
174,dont see big deal websit,,8
175,machineplay im sorri your go therapyfail,,8
176,colindemar far way rail tip,,8
177,im still swear keep lose gain lose gain tweep heart wrench,,12
178,today realiz good hide thing even cant find,,23
179,stay friend househous sit neighbor loudhav parti,,25
180,dannyvegasbabi danni im upset wasnt watch live chat car 3 hour trip im soooo upset,,25
181,check mug,,8
182,border close 10,,23
183,download nin new album quotth slipquot hell come im behind time day,,12
184,just woke alreadi written email ive go earli univers today teach 830,,24
185,watch hill make sad,,1
186,mani channel yet bore lazi day may find hobbi,,12
187,supersport miss buddi ill ny 25th,,25
188,robluket love french tell peopl south im qtr french snarl french beauti peopl,,25
189,opp said still got one day remain now problem come,,12
190,activ selfcontrol block earli mean cant check new qc regular intern clock might difficult fb,,23
191,hillydop oh,,5
192,spencer good guy,,13
193,goodlaura rees die ttsc season final next week 24 bore madam presid crazi woman,,13
194,jonathanrknight hate limit letterstoohop guy finei pray dogsheďż˝ well,,8
195,didnt get shit done today im screw,,23
196,wanttss go,,6
197,go sleep tonit,,23
198,worri tire post tonight,,25
199,couldnt get shit done today im screw,,23
200,job interview cardiff today wish luck got 3 hour sleep,,23
201,stuston show whack way wors whack wiggetywhack,,1
202,djalizay realli dont think peopl choos way think chose accept famili help might dead now,,8
203,eloquentembrac your go kill ive seen ds9 ive wait till can one solid week sit,,12
204,cheechbud think ur right hahaha 45 hrs now,,1
205,hate see spartan sad,,1
206,mind bodi sever protest quotget upquot thing nightmar boot,,13
207,mysteezradio im goin follow u sinc u didnt lol go angel,,12
208,mandayyy,,7
209,twista202 think want read book librari doesnt,,8
210,nap interrupt mani time today go japanes rent,,12
211,kind long bus show end ghost world right now ugh,,1
212,gurumn canada canada weird suppos get snow wednesday ugh,,23
213,awwh bab look sad underneith shop entranc quotyesterday musikquot o like look new transform movi,,1
214,sad feet macbook just fell,,24
215,im gonna get late tomorrow 132am gonna get tipsi lonesom thatsthat just sad,,24
216,im sweat forthcom trip e3 cant find someon crash im may screw,,23
217,now gotten somebodi read tweet cant get make account,,23
218,infinitydefin omgawd couldnt handl cat heat time d d,,12
219,donniewahlberg hope can make auburn show look good,,13
220,davidhenri that peopl mag haha couldnt fit dont think pictur ever made magazin tho haha,,8
221,breadandbadg congrat total forgot submit photo,,25
222,paulaabdul awww good luck paula pleas dont work hard hope fun new album gonna amaz xxx,,3
223,imaginarypeach now leav get sad,,1
224,miss twitter phone broke now im use stupid nokia phone ughhh miss advanc phone,,25
225,shoot outsid hous o kid scare,,1
226,tuesdayďż˝l start reflect ďż˝n lectur stress reduc techniqu sure might becom use us accompani,,12
227,tragedi disast news week,,13
228,yes yes still tri find pictur will upload correclti,,12
229,oh red sox game rain look forward open day,,12
230,still cant find key,,23
231,charlietm know right dunno go twitter,,8
232,might get sore throat,,23
233,labelsnotlov home town mammi call depressd pls explain y parent let 8yr old child walk alon hello 2009,,25
234,ircmaxel think need find better antidepress think paxilwellbutrin combo lose efficaci,,3
235,myconnecticut restaur call woodntap competit eat tourney round tourney time place 2nd,,12
236,bathroom wake lakin,,12
237,caitlinoconnor want taco margarhita telll gay say hellolt3,,8
238,im lone keep compani 22 femal california,,12
239,bad day betfair offic,,12
240,miss cant wait celebr tar heel win weekend though,,25
241,im realli cold dont want go sleep yet there noth,,8
242,kristencampisi 4 u offici 4 go round,,12
243,monkey just found twin wont even write back im heartbroken,,24
244,missom aww know felt like yesterday work,,3
245,sarahreedsc treati isnt defin,,12
246,miss brent prais band fun lead guitarist ltpoutgt,,25
247,jpfurri poor john happen play fruit microwav serious though seen doctor xxx,,25
248,miss bff watch home away remind lt3 shout u court,,25
249,mandayyy,,9
250,new video card doa,,12
251,feel lost nake confus jk sort ofno iphon,,13
252,damn late fill apprais form peopl almost sent occupi work,,3
253,miss brent prais band fun lead guitarist ltpoutgt,,25
254,think much past cant chang deserv much wat got still think gah,,23
255,lost ring nowher seen,,23
256,burgaw ooooooh sealclap see download shitload zip folder 4chan internet money fuck yeah alicia amp mikey,,25
257,still nurs nile glad feel better hate babi sick,,13
258,fuck go back ic,,12
259,brandizzzle08 yoyoyo internet rude tonight just reconnect im go bed,,24
260,jemcam well uni stuff netbal netbal ive done uni stuff can,,13
261,kissabl poor,,25
262,help forget 8th april amp 13th juli,,13
263,dierk bentley comin columbus oh wanna go bad,,13
264,take sidekick back,,12
265,chriscantor congrat im total jealous wish xm work,,3
266,gr8t face itchi,,12
267,poor sock luvvvvv golden retriev want one sighhhh,,8
268,just saw found traci girl piec luggag fuck terribl,,24
269,aaaaand nausea back,,12
270,donniewahlberg ooh iďż˝m excit even go 2 long love youtub,,25
271,spent 1 hour reach axi bank find today holiday mahavir jayanti contd,,23
272,mathewsmichael agre jobro dont updat there often,,8
273,fishmous hilari link clip lj time ago went back just now dead link,,24
274,diannepulham oooooooo im neither that need studi,,3
275,havent tweet near day post websit tonight hope goe well night time,,12
276,bostongarden miss bentley,,25
277,serious need finish job applic,,3
278,son vinca sick stay home just three tens day work back holiday kid,,24
279,whing clientampboss dont understand english well rewrot text unread written v good writerampreview correct,,8
280,huntermoor dont want ever punch,,8
281,sooo sick snow ughh,,13
282,itsnemesi,,10
283,lovemeagan doesnt work fan upset,,3
284,like apolog repeat video game live relat tweet go stern discuss koodo soon stern,,13
285,zaydia cant figur get back pay hotel etc,,23
286,fml much senior bc technolog inept now quotregisterquot class,,1
287,feel like slept day away look forward bout gallbladd least pill now pain,,13
288,thastevieg realli want old bass back,,8
289,mad tire today callin earli tonight nighti night twitta,,23
290,levenrambin take easi good,,13
291,im afraid bad code,,13
292,think im go bed goodniight hate,,8
293,riancurti im friend love,,25
294,kariajay time didnt notic gonejust need db2,,12
295,aaronrva bathroom pee,,12
296,ashleyskyy want margarita,,8
297,kourtneykardash yup night workout r worst unfortunet work schedul allow go night tough,,3
298,just call hillsong said couldnt tell wait list dont know look good,,24
299,0g milki bar left around 200ml coke,,12
300,jokerrrr stillllll hasnt arriv,,12
301,mraow feel like danc first art school want rape,,13
302,karenucol ah bet ive like crave play softbal basketbal noo time,,12
303,terrifi accident delet refer manag assign hope doesnt get troubl get back,,23
304,amazon s3 plugin work websit need php 5 host provid php 44 sad,,3
305,argh suuuper sleepi hour ago now im wide awak hope dont stay night,,8
306,austinhil wish sold time let know love hear,,12
307,just watch tropic thunder dread tomorrow,,24
308,qweendassah nohe still missn,,12
309,chiefdelphi,,11
310,accord bro new puppi poo fight cover poop pictur stolen,,12
311,play game home new boss didnt call yet,,25
312,su yin huen tweet feel unbear guilt made staff cri,,13
313,poor joshi sick damn tejano,,13
314,thought sandra cantus famili difficult sad time,,1
315,franzglaus know just want let everybodi know happen,,24
316,michigan dont know sigh shame,,8
317,fill two hour,,12
318,alicayaba cuuut hey miss na see girl everyday,,25
319,jonathanrknight oh mention quotgooooood moooorniiiiiiingquot germani im back cageor bettermi offic,,12
320,throat close string chees good idea,,13
321,aww sandra cantu found dead suitcas miss children stori never seem go good poor famili,,25
322,wish home underneath cover,,25
323,walk home school drain energi,,25
324,ridley1013 agre shapeshift copout excit angela ep thought week noah awesom tho,,13
325,savethestrib dang done knew earlier outing plan,,24
326,wish better write take long write paper,,13
327,cours access halo 3 mythic map pack redownload bad news legendari map pack ugh 600ms,,13
328,vene2ia yet unfortun anoth week ive told ive littl bit busi latest project,,13
329,thecoolestout ha sun alreadi gone,,12
330,day 2 lot harder day 1 let see day 3 goe tomorrow,,12
331,man crush jake peavi let gayforpeavi,,12
332,trishzw megafast trip time day tomw go tonight want see bad tri warn tech fail,,12
333,michigan state make sad,,1
334,omg mouth much pain just wanna sleep until time take brace,,24
335,get annoy easili today gtgtgt biofuel propos get annoy easili today gtgtgt biof,,23
336,mizzchievouz hey girl site back girlyvu back even video,,12
337,a5hleyf im spend time grandma earli tomorrow cant leav skittl,,12
338,just got home watch michigan state get tromp,,24
339,oh jewbus two year worth class work alot organ gtlt im finish tonight possiblemi bone ach,,3
340,griffmiest exchang laptop hasnt arriv,,12
341,hyperbet hope doesnt last long feel miser,,13
342,rcompo rachel hang outag neccessari gonna home wekend dumb folk make work im free f sat 4,,3
343,theleaguesf fun amp furious new mantra bay 2 breaker get 2 rambunctiousth citi overreact amp clamp,,23
344,amberbenson hubbi reason think import good spot red carpet trek movi premier sod,,13
345,swear matter long ive get 5am never get easier man eye hurt wah,,23
346,jeffreestar jeffre keep hair one color perman dye fade within week,,12
347,otakusecret reaction whoa didnt see come,,12
348,still sick feel bit better got new medicin hope feel good night sleep ohh suppos snow wtf,,13
349,dangerm0us think mayb get coupl hour sleep hon product can right now ur dog tire worri,,23
350,maddyva thank lot learn lot new word didnt find look,,12
351,wish xblm download gamertag hitokyri 5 gamertag thing nonsens im tire,,13
352,new testament test 930,,12
353,scoutbuck ton hay troll ahhhh,,25
354,stupid movi watch mirror ugggggh stooopee rip,,25
355,love buck,,25
356,last one still done,,12
357,homework,,8
358,dont understand thing get taken away didnt enough time unfair want back like babi,,8
359,scratch du heif two half cooki tum just cant take anymor shoog poot,,24
360,cococourtney just listen sweet first time forev miss much can go chi town visit plz,,24
361,geez busi afternoon meet email meet email meet 6pm day still go ah dark,,12
362,dang anoth spring break cool bad work week oh well money phone ttyl everbodi,,3
363,sarak im afraid ur repli uni age ago,,12
364,feel,,13
365,carvin1 lol emot ass men omg late night eat us broke,,12
366,nickcart aww nick like hair longer cut break heart,,13
367,wonder jon lost net,,23
368,wow depress thing world lose video youv creat matter second fml,,13
369,nchokkan httpswwwmycomicshopcomsearchtid395031 say stock,,1
370,poohpot lmao im sorri poohpot ate,,8
371,chanc softbelli mtub isnt loud,,12
372,time move posterior lose fat articul creak run iďż˝m drool swim,,12
373,listen nathan cri,,12
374,today suck im gonna die without chris callum wahhh,,23
375,stou site updat info 22552 exam open cours must wait mail notic doc um,,8
376,ohsbrat30im sorri im feel kinda yucki 5am go come quick,,13
377,love scrappi missin alreadi,,25
378,want hear seblefebvr s song myspac mess,,8
379,bad news dad cancer die good news new busi start now life coach practis holist weight manag,,13
380,duchessrebecca man intervent soo sad,,1
381,help need new boyfriend im stuck rut,,3
382,feel like complet idiot im one doesnt get shit work help,,3
383,saw ad craigslist cast call femal host g4 total psych realiz hoax,,25
384,pepperoni roll la call valentino said sausag roll pepperoni roll,,25
385,soillodg yes will monday,,12
386,want new gg episod alreadi,,8
387,miss watch rocko modern life,,25
388,rip sandrait sad can someon someth like,,1
389,keep finger cross buddi feel well,,13
390,wait eat skinni vega im hungri,,12
391,margeinovera tri tweetdeck hate passion hate im sure,,8
392,benackerman btw iphon act funni die quick freez bs im admit anyth just sayin,,24
393,sit wonder quotedquot still strong hold,,12
394,bananafac im sorri got sick lol go bed night,,8
395,carolrainbow internet home drive ox use internet builder,,25
396,stevebuscemi weather canada freez,,12
397,twiggassssssss rang day im back now hope good,,1
398,danadearmond,,14
399,anyon read pray grandma shes pain,,12
400,3 woke accid quotit push pushingquot cri couldnt stop wet pant,,12
401,home franklin street almost jump fire someon kick jenni lost shoe,,25
402,johnnybean hey just chang default,,24
403,final gave bore enough start thing think 140 go problem tho like myspac status,,13
404,ellievolia oooon realli lucki eh awh definit earli work,,3
405,buttload homework,,8
406,need anoth copi visual studio 2008,,3
407,school world weekmi school silli anyway look bright side im u will,,12
408,omg ive econom test dont know thing know omg im gonna fail,,8
409,robcthegeek upon time hundr island pride philippin tourism coralclamrar fish poach kinda sad,,1
410,henkuyinepu yeah appar realli bad tast,,8
411,hummiemd know realli surpris sinc everyon recommend youtub call tomorrow figur,,8
412,wait airport ride get harass 2 men tri sell ugli hat just want sleep,,24
413,left id locat now can go bar fuckkkkkkkkkkkkk,,1
414,celycarmo im sorri dont understand last comment,,8
415,officialrandl announc stay late last night,,12
416,kishorek strang illeg torrent avlbl everywher legal dvd stock now,,1
417,enough say imiss u,,1
418,trolley pack like sardin padr game remov car good call mts,,13
419,randomlynat jeez just tri help haha,,24
420,supamagg happen saturday night along glitteri green lighter,,12
421,tri reduc number cigarett day,,12
422,yea quiet around cuz everyon work im bore death nobodi talk,,3
423,gotta cook assign hard,,23
424,treesahquich okay applepear ive talk peopl theyv one ever told never,,12
425,jennifermf know im night owl natur hahaha time zone behind almost 1,,12
426,mamasvan lol nope complet camerafail,,12
427,maxime68 megeld im useless dont sleep fair want fun well,,8
428,pooki uti nurs gabbi get back 100 soda,,23
429,jillianfish tweet someth damn hang pleas,,25
430,anistorm,,8
431,im behind video game everyth matter im yesterday news,,12
432,sleeptilnoon one left got tempt ate soon got home chocol velvet amp ate d mocha,,12
433,stress blackberri keep flash red alert status reason fake hate,,8
434,wanna wear doc marten havent worn sinc decemb,,25
435,shoe repair shop guy find shoe go back see can find coupl day,,12
436,bbarnett realli see come,,12
437,just woke vivid sketchi notcool dream life time stare wall light,,24
438,itll take 3 day sister get passport,,23
439,nicolerichi oh yes miss,,25
440,uh oh think get sick,,23
441,good god ruin belli button,,13
442,watch frame roger rabbit make miss toon town,,25
443,akianz rent cheap rent awesom hous 3 buy attempt fall,,1
444,run nose spin head good combin meet,,13
445,eazydoesit87 negat lost vote confid,,23
446,nasti budget due iphon sent appl today,,23
447,sofiinoel thatďż˝ bad,,13
448,dammit episod 3 king wont play reason stop middl now wont anyth,,1
449,im upset miss chat quiz onlin free internet ceas,,25
450,cant believ im disbelief way realli much can take peopl alway get hurt other,,23
451,car show season start without,,1
452,throat raw,,23
453,kevchoic just dont get person mind even ish like prayer fam real,,24
454,frago hate didnt need see need call therapist now,,1
455,twilight didnt come yesterday finger cross today,,12
456,nilelegania glad abl help feel better hate see sick love,,13
457,tireddddddd want sleep assign finish exam tomorrow studi,,8
458,know think need money,,8
459,omgit jst teusday,,15
460,ddlovato davidhenri ummmmm cant find,,23
461,just heard found sandra cantu 8 yrs old,,24
462,corrosivecandi ive forgotten snoosnoo wonder snoosnoo will ever meet,,12
463,amanorri wow last tweet made seem like giant sexistsorri,,13
464,bathtub drain fire haz 1 job 2 amp iz fail got drano ass amp iz still drain wanna shower dangit,,12
465,stuck home,,25
466,nomadicmatt mine 110 get,,23
467,duckl famous children book stolen boston public garden boston globe via sharethi oh,,12
468,appomattoxnew thank howev hate list includ 2 convict,,8
469,head altrincham hour instal,,12
470,morn good im bloodi knacker work today helppp xxx,,3
471,jeffreecuntstar dont garag can park driveway,,8
472,lauredhel happen,,1
473,quoton popular musicquot twadorno probabl difficult read ever prescrib im actual struggl continu,,8
474,cant see flower fall dont camera just cellphon,,24
475,weve good im like snow right now get use nice springlik weather,,23
476,brianarmstrong piti youtub current block china cant see vid,,23
477,margaretcho happen show hightlight life,,1
478,best leather sofa world offic though mean im still work,,3
479,still 3 day internet get uncap,,23
480,doesnt get better day someth lodg belli,,23
481,love atekinzz much ampamp soo miss,,25
482,wanna sneak zoo play kitti,,25
483,lolitariot oh hope your get sick,,23
484,alejandralei dont think can caus cousin birthday parti,,8
485,sweet littl man just fell asleep wait daddi big brother get home poor babi miss much today,,25
486,angel go miss athlet weekend,,25
487,trust hard,,23
488,watch consid today yaknow shawnna tomomorrowi need bestfriend,,3
489,grr want keep read wont anyth left read,,8
490,atekinzz world,,13
491,rumlov u suppos date,,13
492,pear amp brie bottl cabernet quotwin date tad hamiltonquot oh gawwd life flash forward im 40 75 cat,,13
493,crap need dress,,3
494,kaeeeep yeah know horribl ugh sadden,,8
495,brodh geez ur fun,,25
496,wanna punk rock band,,25
497,jyesmith that lot angst tuesday afternoon,,12
498,im glad britney isnt crazi anymor one hell show now im sad next upap cook counti,,1
499,huuug headach omg feel like crap,,13
500,anistorm sorri,,8
501,cleder sorryi root,,16
502,man took forev,,12
503,shandasaurus see,,25
504,list item ebay sell take forevermeanwhil coleman watch hill season premier without,,25
505,just got present done 23 slide done im cri week will hardest week,,24
506,just lost 160,,24
507,dont like previous skin thing start season two like went straight intro like,,8
508,houndour wish thereim pretti good scare shit peopl,,13
509,go sound vain run fav lip gloss,,13
510,stuiy never will click link scream quotim spider im spiderquot known better yucki,,13
511,time work get sick,,3
512,pratama imac came 320 indonesia state,,25
513,dammit need stop buy furnitur,,3
514,misssil half asleep turn laptop,,12
515,death peac life howev bite,,13
516,think jonathanrknight lost net sure hope,,8
517,httpisgdr8zi httpisgdr8zg test footag girlfriend hd dark one underxpos,,12
518,tough game watch tonight state final go bed also stay watch season premier hill,,25
519,seem jrubi support hpricot now two version behind,,1
520,jinxcat unlik sisteri still dont one,,8
521,frake app store piss,,24
522,log need studi,,3
523,anyon els problem access ttb cant get,,23
524,strong dislik peopl make stupid comment dont know whole stori,,8
525,emmaketurah im sorri emma swarley goldfish im sad u,,1
526,tweet alreadi gone arent miss guy tonight,,25
527,cant sleep face kinda swollen dont let allerg thing thatll get thursday school tomorrow doubt,,23
528,snickthedog izzi cat tree shell stare shes floor chase run,,13
529,offici ban godaddycom comp head hurt small print wast 10 couldv happili gone boba,,12
530,humanopium pretti much just scari,,24
531,ilovepi mine im find well hard get fit,,23
532,good morn readi 2 go want 2 go back 2 bed,,12
533,hate wait mail,,8
534,wheat bread dollar store just doesnt toast nice go tax call earli night,,24
535,kutner mean knew someth go happen someon sad lt3 hous well done im still sad,,1
536,jonathanrknight aw ok goonit,,25
537,ill cant go cinema,,23
538,fell asleep realli didnt mean christina,,8
539,kelleyrow hey rememb time use friend ugh vomit sick need sleep,,12
540,lymph node massiv rahm emanuel ball right now,,1
541,oh comput suck dont think ill abl listen xbox 360 fancast tonit,,8
542,miss play trumpet,,25
543,throat still realli sore meant go 5 day camp friday sure now,,1
544,sasii know exact feel,,13
545,work,,3
546,well bed time now 1 sigh back 6 morn week wednesday,,12
547,hert jesus camp yeah,,8
548,marybethun oh everyth happen today forgot go dress shop opera tomorrow,,23
549,turtl better mac last longer move faster,,13
550,soak pleasant,,17
551,ginay sorri hear maggi thought mum,,8
552,ewarden may email one hope feel better,,13
553,miamiiboii dead yu gettin wen im leavin,,3
554,arlenecd pleas tell that somewher close california lol,,12
555,phlaimeaux,,18
556,stupid arrang marriag ill convert can marri melov,,13
557,emilyrupp well said looser show impli,,1
558,poor sandra cantu amp cantu famili prayer go sick world live 8,,13
559,fuck omg austin alway though man lt3 love,,25
560,nicolerichi cri hard matthew die,,12
561,sad feet macbook just fell sad feet macbook just fell,,24
562,chordsi last find thing like your twitter,,13
563,lovebscott absolut,,1
564,fill curri true indian come,,12
565,im soooo cold right now,,1
566,heidimontag lol kant believ cam got beat upp sooo embarasssiiiin,,12
567,jonathanrknight good knight hun look forward ur tweet hate keep miss fun cuz time differ,,25
568,tumblr exact feel wear ďż˝tieďż˝,,13
569,daniela95616 hahaa just realiz quotimpunequot definit isnt word want dang im unclev,,24
570,watch old video danc team make miss,,25
571,wahh csi anywher dvred love money 2 though gonna watch sleep goodnight tweeterslt3,,25
572,struggl hard inventori,,23
573,ddlovato hate us pleas dont,,8
574,ballinbitch haha im ballin still got bill paaaaay,,12
575,im one day realli just want work home crap,,24
576,paulewog waiti game just episod im confus,,24
577,carlyw66 haha cri guess,,12
578,dont get statist bunch mumbo jumbo,,23
579,sloanb got sad work uk amp us moment,,3
580,evict,,19
581,doesnt enjoy learn css,,3
582,nachojohnni brian dont make fuck u lol repli 2 ur messagedid u get miss u,,25
583,heidimontag dvrd went watch appar dish network went miss will catch rerun,,25
584,jessdubb lmao u may wait anoth season come thru summ boo hot nd dri ass weather,,12
585,lizchavez cant set feet ground miss eyelid peopl might get,,23
586,daniela95616 english professor asham,,8
587,o wish frog werent becom extinct,,13
588,came home cross counti tire,,25
589,dont want walk home snow want pick,,8
590,heidimontag lauren stubborn love love feel bad though made cri lol,,13
591,grouchi want bmar,,8
592,heart broken everi morn drop foo pre school now understand mom say quoth heart brokenquot,,1
593,feel well back hurt,,13
